tick,start_epoch,end_epoch,wall_s,exit
1,1788281281,1788281360,79,0
2,1788281360,1788281440,80,0
3,1788281440,1788281518,78,0
4,1788281518,1788281596,78,0
5,1788281596,1788281675,79,0
6,1788281675,1788281754,79,0
7,1788281754,1788281835,81,0
8,1788281835,1788281912,77,0
9,1788281912,1788281990,78,0
10,1788281990,1788282068,78,0
11,1788282068,1788282145,77,0
12,1788282145,1788282224,79,0
13,1788282224,1788282301,77,0
14,1788282301,1788282379,78,0
15,1788282379,1788282457,78,0
16,1788282457,1788282537,80,0
17,1788282537,1788282613,76,0
18,1788282613,1788282691,78,0
19,1788282691,1788282769,78,0
20,1788282769,1788282847,78,0
