finding-id	class	status	remaining-work
repair-attempt-047-review-execution-evidence-missing	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-attempt-048-agent-unavailable	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-attempt-049-agent-unavailable	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-initialization-6d5da36a-04f0-42ee-ba91-55bee5801a01-initialization-failed	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-attempt-051-feature-card-missing-or-invalid	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-attempt-052-strategic-selection-unavailable	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-attempt-054	independent-review-failure	awaiting-validation	retain-partial-evidence; validate
repair-attempt-055-substrate-unavailable	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-attempt-057-untyped-failure	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-attempt-058-untyped-failure	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-initialization-b076e0f8-dbc2-4368-80a0-073d243951a0-initialization-failed	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-run4-u88-production-successor-20260911-v2--attempt-001-untyped-failure	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-run4-u88-20260911-v1--attempt-001-agent-readiness-failed	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-initialization-38690d22-879c-47ab-a72a-6aaf2cce85fa-initialization-failed	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-ed30086808fbd2a7cb6b0877b813488dd126b87333d47713a34bc985e930a80c--attempt-001-agent-unavailable	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-ea1-b7b31c0e2a3316eed59b375d002df1c2a9736e0e82ba8f2360a9268ca38112d4--attempt-001-agent-unavailable	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-ea1-78cd8a42e23392a5ce1412e49d181c3e7c3ac95aaa40d4f54c5c9d8ef3ae08eb--attempt-001-pinned-selection-refused	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-initialization-8c13130f-bed1-4eac-b2f3-261243c119dc-initialization-failed	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-2f236518f322ef0afcb30331ff5336e025168024b07c8dbc4f09b3b1d266f8d9--attempt-001-agent-unavailable	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-ea1-48e6e3c5457459304f807b5656ea7eefcf6f6922b5277006f7905fef005c53c7--attempt-001-guardrail-refusal	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-attempt-001	independent-review-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-7093b8fbb1ca8fc99a18899b69ca39f1e5a1a129e76739ebddbbee974299f94f--attempt-001-untyped-failure	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-3f4cac241e58afd9b6eae48e78a2ac7f63925aa3fc05c7e3a3fd6d789d4637a9--attempt-001-untyped-failure	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-initialization-a9177cab-e783-464e-83e2-21a6371484a4-initialization-failed	machine-failure	awaiting-validation	retain-partial-evidence; validate
