candidate	channel	decimal90	binary64
1	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
1	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
1	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
1	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
1	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
1	depositing-signal	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
1	loop-health	-1.38364061116992292656927244290735756453842954818865023879111257578521680263769649157075554	-1.3836406111699229
1	mathematics-pct	-1.38364655978327130509582833164297493907870015088159952661468154158222206475194381824890844	-1.3836465597832712
1	mission-health	-1.16320621825064170411938651170027307900336679532406479435200059383450162044672893914510934	-1.1632062182506417
1	portfolio-pct	-1.38364655976496642489535073931818742750965110826170501296686755424806495964761725063658750	-1.3836465597649665
1	sorry-count-norm	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
1	stack-pct	-1.38364655973445829123329657874954947319042701646883615644862902057111362118729037038666720	-1.3836465597344583
1	support-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
1	ticks-firing-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	depositing-signal	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	loop-health	-1.38364061116992292656927244290735756453842954818865023879111257578521680263769649157075554	-1.3836406111699229
2	mathematics-pct	-1.38364655978327130509582833164297493907870015088159952661468154158222206475194381824890844	-1.3836465597832712
2	mission-health	-1.17090036865847870696459061369769958545921430720450825314710559271788397349454695268798767	-1.1709003686584787
2	portfolio-pct	-1.38364655976496642489535073931818742750965110826170501296686755424806495964761725063658750	-1.3836465597649665
2	sorry-count-norm	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	stack-pct	-1.38364655973445829123329657874954947319042701646883615644862902057111362118729037038666720	-1.3836465597344583
2	support-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
2	ticks-firing-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	depositing-signal	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	loop-health	-1.38364061116992292656927244290735756453842954818865023879111257578521680263769649157075554	-1.3836406111699229
3	mathematics-pct	-1.38364655978327130509582833164297493907870015088159952661468154158222206475194381824890844	-1.3836465597832712
3	mission-health	-1.17327002734257956818310065917961786675738974443345142670411332356878276404814912724577747	-1.1732700273425796
3	portfolio-pct	-1.38364655976496642489535073931818742750965110826170501296686755424806495964761725063658750	-1.3836465597649665
3	sorry-count-norm	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	stack-pct	-1.38364655973445829123329657874954947319042701646883615644862902057111362118729037038666720	-1.3836465597344583
3	support-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
3	ticks-firing-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	depositing-signal	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	loop-health	-1.38364061116992292656927244290735756453842954818865023879111257578521680263769649157075554	-1.3836406111699229
4	mathematics-pct	-1.38364655978327130509582833164297493907870015088159952661468154158222206475194381824890844	-1.3836465597832712
4	mission-health	-1.17379730441177430565642675851406410593095163918898901097551971100807712740090839376223610	-1.1737973044117742
4	portfolio-pct	-1.38364655976496642489535073931818742750965110826170501296686755424806495964761725063658750	-1.3836465597649665
4	sorry-count-norm	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	stack-pct	-1.38364655973445829123329657874954947319042701646883615644862902057111362118729037038666720	-1.3836465597344583
4	support-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
4	ticks-firing-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	depositing-signal	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	loop-health	-1.38364061116992292656927244290735756453842954818865023879111257578521680263769649157075554	-1.3836406111699229
5	mathematics-pct	-1.38364655978327130509582833164297493907870015088159952661468154158222206475194381824890844	-1.3836465597832712
5	mission-health	-1.17577326496335674336901941759483008253502193737380038073269370332344096512580340002198850	-1.1757732649633568
5	portfolio-pct	-1.38364655976496642489535073931818742750965110826170501296686755424806495964761725063658750	-1.3836465597649665
5	sorry-count-norm	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	stack-pct	-1.38364655973445829123329657874954947319042701646883615644862902057111362118729037038666720	-1.3836465597344583
5	support-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
5	ticks-firing-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	depositing-signal	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	loop-health	-1.38364061116992292656927244290735756453842954818865023879111257578521680263769649157075554	-1.3836406111699229
6	mathematics-pct	-1.38364655978327130509582833164297493907870015088159952661468154158222206475194381824890844	-1.3836465597832712
6	mission-health	-1.17583921569581498613541979340128169678813522968972382669151027716014419299044422821512930	-1.175839215695815
6	portfolio-pct	-1.38364655976496642489535073931818742750965110826170501296686755424806495964761725063658750	-1.3836465597649665
6	sorry-count-norm	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	stack-pct	-1.38364655973445829123329657874954947319042701646883615644862902057111362118729037038666720	-1.3836465597344583
6	support-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
6	ticks-firing-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
7	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
7	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
7	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
7	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
7	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
7	depositing-signal	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
7	loop-health	-1.38364061116992292656927244290735756453842954818865023879111257578521680263769649157075554	-1.3836406111699229
7	mathematics-pct	-1.38364655978327130509582833164297493907870015088159952661468154158222206475194381824890844	-1.3836465597832712
7	mission-health	-1.17591041835099322087527565004027500619732582365853469167469672682826784186984918660917709	-1.1759104183509932
7	portfolio-pct	-1.38364655976496642489535073931818742750965110826170501296686755424806495964761725063658750	-1.3836465597649665
7	sorry-count-norm	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
7	stack-pct	-1.38364655973445829123329657874954947319042701646883615644862902057111362118729037038666720	-1.3836465597344583
7	support-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
