candidate	decimal90	binary64
1	-19.1506055468076170383770223660794794697360231049189350096488671222635889667517509370651665	-19.15060554680762
2	-19.1582996972154540412222264680769059761918706167993784684439721211469713197995689506080449	-19.158299697215455
3	-19.1606693558995549024407365135588242574900460540283216420009798519978701103531711251658347	-19.160669355899554
4	-19.1611966329687496399140626128932704966636079487838592262723862394371644737059303916822933	-19.16119663296875
5	-19.1631725935203320776266552719740364732676782469686705960295602317525283114308253979420457	-19.163172593520333
6	-19.1632385442527903203930556477804880875207915392845940419883768055892315392954662261351865	-19.163238544252792
7	-19.1633097469079685551329115044194813969299821332534049069715632552573551881748711845292343	-19.16330974690797
8	-19.1634001522627540035268063800757762465853364633539071980972791451014210721637295796133505	-19.163400152262753
9	-19.1634422460552060022909120443287111514320159324760171244231606120520940914006195009067424	-19.163442246055205
10	-19.1635397606407054476084863757826406534324555872200480187234864039965470713995110866865013	-19.163539760640706
11	-19.1636307998970804006260879341053895340811841592351579274892466142753282288982438389503626	-19.16363079989708
12	-19.1636527380207259019775025086074297468020643334931676021745507662681754744893944750054865	-19.163652738020726
13	-19.1636800882367456687218290309377066613022545580114367468528462478466630883147542330439339	-19.163680088236745
14	-19.1637100805115781222600195728319405846699780820249121182652667001333797793230546460610072	-19.163710080511578
15	-19.1638532236808735837026697574963213004436746336737905296469055729189873532993981846485363	-19.163853223680874
16	-19.1638612585151173069745674010279241319638047263869989625301865581305393413053896646819656	-19.163861258515116
17	-19.1639412084456004585880813967072110203474711282132591849487758088039734772884483688907630	-19.1639412084456
18	-19.1640702355010721217958614399358116404551571595518845386715052993013997083073883629876477	-19.16407023550107
19	-19.1641637994336347393941444474944863255001907689669066272407303584196914989376079923639732	-19.164163799433634
20	-19.1642690878653774359996131295710509094582518355405024050733253667715748425987492733302765	-19.164269087865378
21	-19.1643528494633908811307188335486506726758401905934373575743922728500872076389686509887307	-19.16435284946339
22	-19.1643679846747496272663344113955631655270979032880624064178517398362684360432816062778444	-19.16436798467475
23	-19.1643881198836937595943701739267491192302663203798749736303264593869745825533744539829959	-19.164388119883693
24	-19.1644132164563368151719870968073580261635043347279699850449421174422284402613841797648631	-19.164413216456335
25	-19.1644253342922661009564506850826898668025276924500347420974498436678732412830339686338096	-19.164425334292265
26	-19.1644253342922661009564506850826898668025276924500347420974498436678732412830339686338096	-19.164425334292265
27	-19.1644253342922661009564506850826898668025276924500347420974498436678732412830339686338096	-19.164425334292265
28	-19.1644282357660361876158076835657046121201728362334592340343746315412482405536335104299362	-19.164428235766035
29	-19.1644631681398325644130577533771144283678025916513094366827492329733118480135882095441753	-19.164463168139832
30	-19.1645841891272084562637823773963148783406496198930100965678921956573557805774540989415722	-19.164584189127208
31	-19.1645866388214614881251798956317148740731157079111153462850231782229555190123895039078968	-19.16458663882146
32	-19.1647513297994670587594096751442056090465101017269989579729621965798484005273388361891426	-19.16475132979947
33	-19.1647943014986964543626672930906820748701138260587323345784797210284606284610293781336809	-19.164794301498695
34	-19.1648464683204620774691559903804145059324261635362981475847651445623443744069240774397272	-19.164846468320462
35	-19.1649005898398104952306839987278718397393298649620249805147356030053981689896632478499805	-19.16490058983981
36	-19.1649193149118989092533292924749909729971911105576943618069200340473521238368026975909939	-19.1649193149119
37	-19.1650121675946118399640634466389235284010165955342418048134759260189563274551906110903265	-19.16501216759461
38	-19.1650991848219447371917899566474751675706601114108411083492656007209444334862446303746958	-19.165099184821944
39	-19.1651196239346982184625569482241511424224672185681336692712325217823438294903814666436785	-19.165119623934697
40	-19.1651648107721974881530457546180067280297707591369028995154960312643423006938569455884699	-19.165164810772197
41	-19.1651984896212553793779036099191310568855354117933092566898987971724017705232758170947975	-19.165198489621254
42	-19.1652408895228677450906689669297837685532879641224209331766088288586508196594347598191462	-19.165240889522867
43	-19.1652542186000345889333906425226503788452498237477858705231911296081100765513763077872836	-19.165254218600033
44	-19.1652896211482291528102003381761462687222508235914485013777638541505301499314292270051097	-19.16528962114823
45	-19.1652896211482291528102003381761462687222508235914485013777638541505301499314292270051097	-19.16528962114823
46	-19.1653138408765266921053728141582624987889573128947434675996468777473322217559302061336262	-19.165313840876525
47	-19.1655104686694548536291213346005041178662964003526961011528795378812215191414704771754411	-19.165510468669456
48	-19.1656094134814309746581844421373141904354449077770132580690337531130011009248526164786028	-19.16560941348143
49	-19.1656239978218611892393346723358200442915932006012512709568176070991990407968816994423822	-19.16562399782186
50	-19.1656860554336785232592796214082008633001952108389828316914108662554493117899110180704015	-19.165686055433678
51	-19.1656963279426258920870644137419396174169697527667736934053459581619385028737839877005505	-19.165696327942626
52	-19.1657595683791694925227362127697560728124476363824495255253091800688066337154978995561725	-19.16575956837917
53	-19.1657737414296834573956057198360370614667798572489988697184962029965755429882264523167773	-19.165773741429682
54	-19.1658758118196587374869783510872584699892822824650345777029814426265173845610227143681638	-19.16587581181966
55	-19.1659191958712362634870262142772925650632786846506731627328963390735845246121980836607007	-19.165919195871236
56	-19.1659290015540555952799602194979485280678980609889700683321439203188999700834937087296476	-19.165929001554055
57	-19.1659796667410444128398980758680226218326455259825679899967654587558422977480312432351886	-19.165979666741045
58	-19.1660201914181979261802816423541116994435802356049070001300420647333523969185002913598836	-19.1660201914182
59	-19.1661058347762360193817216924945008066558865775375688272157279061467158198298552414948130	-19.166105834776236
60	-19.1661750316566140797347310336344925023522499894100552573788525342630556057948432715869501	-19.166175031656614
61	-19.1662064553813296073992770875861109013793806966859720675553990543569167564874597065358303	-19.166206455381328
62	-19.1662138153942590800293829610578910650184082489327175388154106360895795400308895374469720	-19.166213815394258
63	-19.1662704188510582661567295914110263841508666939940780150918819661305799906652381897445189	-19.16627041885106
64	-19.1663636296698986609308877346390390237524293079185656058637559875328174354956983677742390	-19.1663636296699
65	-19.1663777766264418175658632574945801612611995075181574017276728846702281424990263241886351	-19.16637777662644
66	-19.1664563934463803793223291661952146190928535167637388053390136602395492016635213551506686	-19.16645639344638
67	-19.1664908110880295122945223993067704626839772444138276297276798540783907332189602953859950	-19.16649081108803
68	-19.1666808440282469529878458274792893060359358173994141642745930885275915979308693952549743	-19.166680844028246
69	-19.1667640518899852883917823228163097957970163933537275283681108797335359029312143248432966	-19.166764051889984
70	-19.1668726256669451008236467698252415595837723240366027422597578555477953925733722403687332	-19.166872625666944
71	-19.1671611048971262787799934663052578433150525007711242226043092136215459393499224100181499	-19.167161104897126
72	-19.1672321556245460198452510838190263436789433201302904864644750937789003815264199749256406	-19.167232155624546
73	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
74	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
75	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
76	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
77	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
78	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
79	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
80	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
81	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
82	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
83	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
84	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
85	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
86	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
87	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
88	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
89	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
90	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
91	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
92	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
93	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
94	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
95	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
96	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
97	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
98	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
99	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
100	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
101	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
102	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
103	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
104	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
105	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
106	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
107	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
108	-19.1678813342922661042258354479988514813149665801735801442631506779874578093252181758334085	-19.167881334292264
