decimal-at-bound total=1000000000001/1000000000000 deviation=1/1000000000000
decimal-coercion-crosses-bound total=1000000000001000001/1000000000000000000 deviation=1000001/1000000000000000000
decimal-near total=2000000000001/2000000000000 deviation=1/2000000000000
decimal-outside total=500000000001/500000000000 deviation=1/500000000000
decimal-unit total=1 deviation=0
exact-nonunit total=2/3 deviation=1/3
exact-thirds total=1 deviation=0
float-inside total=9903520314287993959350135313/9903520314283042199192993792 deviation=4951760157141521/9903520314283042199192993792
float-outside total=2475880078575712309955389969/2475880078570760549798248448 deviation=4951760157141521/2475880078570760549798248448
float-seven total=36028797018963969/36028797018963968 deviation=1/36028797018963968
float-unit total=1 deviation=0
mixed-decimal-float total=45035996273704961/45035996273704960 deviation=1/45035996273704960
mixed-decimal-float-outside total=45035996273795031/45035996273704960 deviation=90071/45035996273704960
mixed-exact-near total=2000000000001/2000000000000 deviation=1/2000000000000
mixed-exact-unit total=1 deviation=0
mixed-five-sixths total=5/6 deviation=1/6
mixed-ratio-float total=27021597764222975/27021597764222976 deviation=1/27021597764222976
mixed-ratio-float-outside total=6755399441069255/6755399441055744 deviation=13511/6755399441055744
